2023-11-30 21:59:58,515 INFO    StreamThr :8268 [internal.py:wandb_internal():86] W&B internal server running at pid: 8268, started at: 2023-11-30 21:59:58.514649
2023-11-30 21:59:58,517 DEBUG   HandlerThread:8268 [handler.py:handle_request():146] handle_request: status
2023-11-30 21:59:58,525 INFO    WriterThread:8268 [datastore.py:open_for_write():85] open: C:\Users\dongjae\Desktop\condnet-g\wandb\run-20231130_215958-h2msi6z1\run-h2msi6z1.wandb
2023-11-30 21:59:58,526 DEBUG   SenderThread:8268 [sender.py:send():380] send: header
2023-11-30 21:59:58,660 DEBUG   SenderThread:8268 [sender.py:send():380] send: run
2023-11-30 21:59:59,276 INFO    SenderThread:8268 [dir_watcher.py:__init__():211] watching files in: C:\Users\dongjae\Desktop\condnet-g\wandb\run-20231130_215958-h2msi6z1\files
2023-11-30 21:59:59,276 INFO    SenderThread:8268 [sender.py:_start_run_threads():1124] run started: h2msi6z1 with start time 1701349198.514649
2023-11-30 21:59:59,286 DEBUG   HandlerThread:8268 [handler.py:handle_request():146] handle_request: check_version
2023-11-30 21:59:59,286 DEBUG   SenderThread:8268 [sender.py:send_request():407] send_request: check_version
2023-11-30 21:59:59,491 DEBUG   HandlerThread:8268 [handler.py:handle_request():146] handle_request: run_start
2023-11-30 21:59:59,518 DEBUG   HandlerThread:8268 [system_info.py:__init__():32] System info init
2023-11-30 21:59:59,518 DEBUG   HandlerThread:8268 [system_info.py:__init__():47] System info init done
2023-11-30 21:59:59,518 INFO    HandlerThread:8268 [system_monitor.py:start():194] Starting system monitor
2023-11-30 21:59:59,518 INFO    SystemMonitor:8268 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-30 21:59:59,518 INFO    HandlerThread:8268 [system_monitor.py:probe():214] Collecting system info
2023-11-30 21:59:59,521 INFO    SystemMonitor:8268 [interfaces.py:start():190] Started cpu monitoring
2023-11-30 21:59:59,522 INFO    SystemMonitor:8268 [interfaces.py:start():190] Started disk monitoring
2023-11-30 21:59:59,523 INFO    SystemMonitor:8268 [interfaces.py:start():190] Started gpu monitoring
2023-11-30 21:59:59,526 INFO    SystemMonitor:8268 [interfaces.py:start():190] Started memory monitoring
2023-11-30 21:59:59,528 INFO    SystemMonitor:8268 [interfaces.py:start():190] Started network monitoring
2023-11-30 21:59:59,532 DEBUG   HandlerThread:8268 [system_info.py:probe():196] Probing system
2023-11-30 21:59:59,533 DEBUG   HandlerThread:8268 [system_info.py:_probe_git():181] Probing git
2023-11-30 21:59:59,576 DEBUG   HandlerThread:8268 [system_info.py:_probe_git():189] Probing git done
2023-11-30 21:59:59,576 DEBUG   HandlerThread:8268 [system_info.py:probe():244] Probing system done
2023-11-30 21:59:59,576 DEBUG   HandlerThread:8268 [system_monitor.py:probe():223] {'os': 'Windows-10-10.0.22631-SP0', 'python': '3.9.18', 'heartbeatAt': '2023-11-30T12:59:59.532698', 'startedAt': '2023-11-30T12:59:58.503648', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': 'C:\\Users\\dongjae\\Desktop\\condnet-g\\main_svhng_biggert2.py', 'codePathLocal': 'main_svhng_biggert2.py', 'codePath': 'main_svhng_biggert2.py', 'git': {'remote': 'https://github.com/dongjaekim-hail/condnet-g.git', 'commit': '9f9b62e0050f1196722ba183293ba94926fe6c14'}, 'email': 'dongjaekim@dankook.ac.kr', 'root': 'C:/Users/dongjae/Desktop/condnet-g', 'host': 'DESKTOP-LTTJJ7Q', 'username': 'dongjae', 'executable': 'C:\\Users\\dongjae\\Anaconda3\\envs\\condnet-g\\python.exe', 'cpu_count': 16, 'cpu_count_logical': 24, 'cpu_freq': {'current': 3400.0, 'min': 0.0, 'max': 3400.0}, 'cpu_freq_per_core': [{'current': 3400.0, 'min': 0.0, 'max': 3400.0}], 'disk': {'/': {'total': 878.1542930603027, 'used': 609.978702545166}}, 'gpu': 'NVIDIA GeForce RTX 3080', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce RTX 3080', 'memory_total': 10737418240}], 'memory': {'total': 63.856868743896484}}
2023-11-30 21:59:59,576 INFO    HandlerThread:8268 [system_monitor.py:probe():224] Finished collecting system info
2023-11-30 21:59:59,576 INFO    HandlerThread:8268 [system_monitor.py:probe():227] Publishing system info
2023-11-30 21:59:59,576 DEBUG   HandlerThread:8268 [system_info.py:_save_pip():52] Saving list of pip packages installed into the current environment
2023-11-30 21:59:59,577 DEBUG   HandlerThread:8268 [system_info.py:_save_pip():68] Saving pip packages done
2023-11-30 21:59:59,577 DEBUG   HandlerThread:8268 [system_info.py:_save_conda():75] Saving list of conda packages installed into the current environment
