2023-12-02 19:05:21,101 INFO    MainThread:7472 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2023-12-02 19:05:21,102 INFO    MainThread:7472 [wandb_setup.py:_flush():76] Configure stats pid to 7472
2023-12-02 19:05:21,102 INFO    MainThread:7472 [wandb_setup.py:_flush():76] Loading settings from C:\Users\dongjae\.config\wandb\settings
2023-12-02 19:05:21,102 INFO    MainThread:7472 [wandb_setup.py:_flush():76] Loading settings from C:\Users\dongjae\Desktop\condnet-g\wandb\settings
2023-12-02 19:05:21,102 INFO    MainThread:7472 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-12-02 19:05:21,102 INFO    MainThread:7472 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main_svhng_exc_output.py', 'program_abspath': 'C:\\Users\\dongjae\\Desktop\\condnet-g\\main_svhng_exc_output.py', 'program': 'C:\\Users\\dongjae\\Desktop\\condnet-g\\main_svhng_exc_output.py'}
2023-12-02 19:05:21,176 INFO    MainThread:7472 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-12-02 19:05:21,176 INFO    MainThread:7472 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-12-02 19:05:21,224 INFO    MainThread:7472 [wandb_init.py:_log_setup():524] Logging user logs to C:\Users\dongjae\Desktop\condnet-g\wandb\run-20231202_190521-iz8dzusr\logs\debug.log
2023-12-02 19:05:21,224 INFO    MainThread:7472 [wandb_init.py:_log_setup():525] Logging internal logs to C:\Users\dongjae\Desktop\condnet-g\wandb\run-20231202_190521-iz8dzusr\logs\debug-internal.log
2023-12-02 19:05:21,224 INFO    MainThread:7472 [wandb_init.py:init():564] calling init triggers
2023-12-02 19:05:21,224 INFO    MainThread:7472 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'nlayers': 3, 'lambda_s': 7, 'lambda_v': 1.2, 'lambda_l2': 0.0005, 'lambda_pg': 0.001, 'tau': 0.6, 'max_epochs': 100, 'condnet_min_prob': 0.1, 'condnet_max_prob': 0.9, 'learning_rate': 0.1, 'BATCH_SIZE': 256, 'compact': False, 'hidden_size': 256}
2023-12-02 19:05:21,224 INFO    MainThread:7472 [wandb_init.py:init():614] starting backend
2023-12-02 19:05:21,224 INFO    MainThread:7472 [wandb_init.py:init():618] setting up manager
2023-12-02 19:05:21,227 INFO    MainThread:7472 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2023-12-02 19:05:21,229 INFO    MainThread:7472 [wandb_init.py:init():624] backend started and connected
2023-12-02 19:05:21,234 INFO    MainThread:7472 [wandb_init.py:init():716] updated telemetry
2023-12-02 19:05:21,257 INFO    MainThread:7472 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-12-02 19:05:22,058 INFO    MainThread:7472 [wandb_run.py:_on_init():2254] communicating current version
2023-12-02 19:05:22,238 INFO    MainThread:7472 [wandb_run.py:_on_init():2263] got version response 
2023-12-02 19:05:22,238 INFO    MainThread:7472 [wandb_init.py:init():800] starting run threads in backend
2023-12-02 19:05:24,439 INFO    MainThread:7472 [wandb_run.py:_console_start():2233] atexit reg
2023-12-02 19:05:24,440 INFO    MainThread:7472 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-12-02 19:05:24,440 INFO    MainThread:7472 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-12-02 19:05:24,440 INFO    MainThread:7472 [wandb_run.py:_redirect():2178] Redirects installed.
2023-12-02 19:05:24,440 INFO    MainThread:7472 [wandb_init.py:init():841] run started, returning control to user process
